IM62v4,IM767v2,category,stratum,Athal,defline
Migut.11G017800,MgIM767.11G017600,1:1,out,AT2G47380,(1 of 2) PTHR34372:SF2 - CYTOCHROME C OXIDASE SUBUNIT 5C-2-RELATED
Migut.11G017900,MgIM767.11G017700,1:1,out,AT1G69840,(1 of 1) PTHR43327:SF59 - HYPERSENSITIVE-INDUCED RESPONSE PROTEIN 2
Migut.11G018000,MgIM767.11G017800,1:1,out,AT2G27020,(1 of 1) K02727 - 20S proteasome subunit alpha 7 (PSMA3)
Migut.11G018100,MgIM767.11G017900,1:1,out,AT2G40980,(1 of 1) PTHR35118:SF3 - PROTEIN KINASE SUPERFAMILY PROTEIN
Migut.11G018200,MgIM767.11G018000,1:1,out,AT3G43810,(1 of 1) PTHR23050:SF544 - CALMODULIN
Migut.11G018300,MgIM767.11G018100,1:1,out,AT5G05080,"(1 of 1) K10583 - ubiquitin-conjugating enzyme E2 S (UBE2S, E2EPF)"
Migut.11G018400,MgIM767.11G018200,1:1,out,AT2G41000,(1 of 1) PTHR24074:SF58 - LD30543P
Migut.11G018500,MgIM767.11G018300,1:1,out,AT1G08680,(1 of 1) PTHR46085:SF4 - ADP-RIBOSYLATION FACTOR GTPASE-ACTIVATING PROTEIN AGD14-RELATED
Migut.11G018600,MgIM767.11G018400,1:1,out,AT1G33110,(1 of 3) PTHR11206:SF102 - MATE EFFLUX FAMILY PROTEIN
Migut.11G018700,MgIM767.11G018500,1:1,out,AT3G03620,(1 of 1) PTHR11206:SF488 - PROTEIN DETOXIFICATION 24
Migut.11G018800,MgIM767.11G018600,1:1,out,AT3G03610,(1 of 1) PTHR12771:SF56 - CED-12
Migut.11G018900,MgIM767.11G018700,1:1,out,,
Migut.11G019000,MgIM767.11G018800,1:1,out,AT3G16670,(1 of 2) PTHR34458:SF5 - POLLEN OLE E 1 ALLERGEN AND EXTENSIN FAMILY PROTEIN
x,MgIM767.11G018900,IM767+,out,AT1G13750,(1 of 1) PTHR45778:SF16 - INACTIVE PURPLE ACID PHOSPHATASE 1-RELATED
Migut.11G019100,MgIM767.11G019000,1:1,out,AT5G10060,(1 of 3) K15559 - regulator of Ty1 transposition protein 103 (RTT103)
Migut.11G019200,MgIM767.11G019100,1:1,out,AT5G13740,(1 of 1) PTHR23504:SF102 - PROTEIN ZINC INDUCED FACILITATOR 1
Migut.11G019300,MgIM767.11G019200,1:1,out,AT3G56820,(1 of 1) IPR011051//IPR014710 - RmlC-like cupin domain // RmlC-like jelly roll fold
Migut.11G019400,MgIM767.11G019300,1:1,out,AT5G04200,(1 of 1) PTHR48104:SF7 - METACASPASE-9
Migut.11G019500,MgIM767.11G019400,1:1,out,AT3G56820,(1 of 1) IPR011051//IPR014710 - RmlC-like cupin domain // RmlC-like jelly roll fold
Migut.11G019600,MgIM767.11G019500,1:1,out,AT5G04200,(1 of 1) PTHR48104:SF7 - METACASPASE-9
Migut.11G019700,MgIM767.11G020000,1:1,out,,
Migut.11G019800,MgIM767.11G020100,1:1,out,AT5G04200,(1 of 1) PTHR48104:SF7 - METACASPASE-9
Migut.11G019900,MgIM767.11G020200,1:1,out,,
x,MgIM767.11G019600,IM767+,out,AT5G04200,(1 of 1) PTHR48104:SF7 - METACASPASE-9
Migut.11G020000,MgIM767.11G020300,1:1,out,,
Migut.11G020100,MgIM767.11G019900,1:1,out,,
Migut.11G020200,MgIM767.11G019700,1:1,out,AT5G04200,(1 of 1) PTHR48104:SF7 - METACASPASE-9
Migut.11G020300,MgIM767.11G019800,1:1,out,,
Migut.11G020400,x,IM62+,out,,
Migut.11G020500,MgIM767.11G020400,1:1,out,AT5G04200,(1 of 1) PTHR48104:SF7 - METACASPASE-9
Migut.11G020600,MgIM767.11G020500,1:1,out,,
Migut.11G020700,MgIM767.11G020600,1:1,out,AT3G56850,(1 of 1) PTHR22952:SF385 - ABSCISIC ACID-INSENSITIVE 5-LIKE PROTEIN 2
Migut.11G020800,MgIM767.11G020700,1:1,out,AT2G41840,"(1 of 6) K02981 - small subunit ribosomal protein S2e (RP-S2e, RPS2)"
Migut.11G020900,x,IM62+,out,AT3G12390,(1 of 1) PTHR21713:SF40 - NASCENT POLYPEPTIDE-ASSOCIATED COMPLEX SUBUNIT ALPHA-LIKE PROTEIN 1
Migut.11G021000,x,IM62+,out,,
Migut.11G021100,MgIM767.11G020800,1:1,out,AT1G05675,(1 of 2) PTHR11926:SF1539 - UDP-GLYCOSYLTRANSFERASE 74E1-RELATED
Migut.11G021200,MgIM767.11G020900,1:1,out,AT5G04190,(1 of 1) PTHR33781:SF1 - PROTEIN PHYTOCHROME KINASE SUBSTRATE 4
Migut.11G021300,MgIM767.11G021000,1:1,out,AT5G17810,(1 of 1) PTHR46998:SF5 - WUSCHEL-RELATED HOMEOBOX 12
Migut.11G021400,MgIM767.11G021100,1:1,out,,
Migut.11G021500,MgIM767.11G021200,1:1,out,AT5G04200,(1 of 1) PTHR48104:SF7 - METACASPASE-9
Migut.11G021600,MgIM767.11G021300,1:1,out,,
Migut.11G021700,MgIM767.11G021400,1:1,out,AT5G04200,(1 of 1) PTHR48104:SF7 - METACASPASE-9
Migut.11G021800,MgIM767.11G021500,1:1,out,,
Migut.11G021900,MgIM767.11G021600,1:1,out,AT5G04200,(1 of 1) PTHR48104:SF7 - METACASPASE-9
x,MgIM767.11G021700,IM767+,out,,
Migut.11G022000,MgIM767.11G021900,1:1,out,AT5G04200,(1 of 1) PTHR48104:SF7 - METACASPASE-9
Migut.11G022100,MgIM767.11G021800,1:1,out,AT5G04200,(1 of 1) PTHR48104:SF7 - METACASPASE-9
x,MgIM767.11G022000,IM767+,out,,
Migut.11G022200,MgIM767.11G022100,1:1,out,AT3G47510,
Migut.11G022300,MgIM767.11G022200,1:1,out,AT1G50720,(1 of 1) PTHR33227:SF66 - STIGMA-SPECIFIC STIG1-LIKE PROTEIN 3
Migut.11G022400,MgIM767.11G022300,1:1,out,AT3G03680,(1 of 1) PTHR31425:SF43 - C2 CALCIUM_LIPID-BINDING PLANT PHOSPHORIBOSYLTRANSFERASE FAMILY PROTEIN
Migut.11G022500,MgIM767.11G022400,1:1,out,AT3G09360,"(1 of 3) K15196 - transcription factor IIIB 90 kDa subunit (BRF1, GTF3B)"
Migut.11G022600,MgIM767.11G022500,1:1,out,AT3G45400,"(1 of 27) 2.4.2.41 - xylogalacturonan beta-1,3-xylosyltransferase. / xylogalacturonan xylosyltransferase."
Migut.11G022700,MgIM767.11G022600,1:1,out,AT5G17770,(1 of 2) 1.6.2.2 - cytochrome-b5 reductase. / cytochrome-b5 reductase.
Migut.11G022800,MgIM767.11G022700,1:1,out,AT2G31270,(1 of 1) PTHR28637:SF1 - DNA REPLICATION FACTOR CDT1
Migut.11G022900,MgIM767.11G022800,1:1,out,AT5G17780,(1 of 1) PTHR43689:SF14 - LYSOPHOSPHOLIPASE BODYGUARD 4-RELATED
Migut.11G023000,MgIM767.11G022900,1:1,out,AT5G17790,(1 of 5) KOG4198 - RNA-binding Ran Zn-finger protein and related proteins
Migut.11G023100,MgIM767.11G023000,1:1,out,AT1G58030,(1 of 1) PTHR43243:SF4 - LD37241P
Migut.11G023200,MgIM767.11G023100,1:1,out,AT4G01650,(1 of 1) PTHR34060:SF1 - POLYKETIDE CYCLASE / DEHYDRASE AND LIPID TRANSPORT PROTEIN
Migut.11G023300,MgIM767.11G023200,1:1,out,AT1G08810,(1 of 1) PTHR10641:SF1152 - TRANSCRIPTION FACTOR MYB60
Migut.11G023400,MgIM767.11G023300,1:1,out,AT1G28760,(1 of 1) PTHR31587:SF3 - F1K23.6
Migut.11G023500,MgIM767.11G023400,1:1,out,AT5G44800,(1 of 1) PTHR45623:SF28 - PROTEIN CHROMATIN REMODELING 4
Migut.11G023600,MgIM767.11G023500,1:1,out,AT4G30160,(1 of 1) PTHR11977:SF133 - VILLIN-4
Migut.11G023700,MgIM767.11G023600,1:1,out,AT5G20500,(1 of 1) PTHR45694:SF5 - GLUTAREDOXIN-C4
Migut.11G023800,MgIM767.11G023700,1:1,out,,Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66
Migut.11G023900,MgIM767.11G023800,1:1,out,AT5G06710,(1 of 1) PTHR45714:SF39 - HOMEOBOX-LEUCINE ZIPPER PROTEIN HAT14
Migut.11G024000,MgIM767.11G023900,1:1,out,AT2G18910,FAM177 family
Migut.11G024100,MgIM767.11G024000,1:1,out,AT5G57360,(1 of 1) PTHR46175:SF5 - ADAGIO PROTEIN 1
Migut.11G024200,MgIM767.11G024100,1:1,out,AT2G18950,"(1 of 1) K09833 - homogentisate phytyltransferase / homogentisate geranylgeranyltransferase (HPT, HGGT, ubiA)"
Migut.11G024300,MgIM767.11G024200,1:1,out,AT4G30190,"(1 of 1) PTHR42861:SF154 - ATPASE 2, PLASMA MEMBRANE-TYPE"
Migut.11G024400,MgIM767.11G024300,1:1,out,AT5G57330,(1 of 1) PTHR11122:SF13 - GLUCOSE-6-PHOSPHATE 1-EPIMERASE
Migut.11G024500,MgIM767.11G024400,1:1,out,AT5G57330,(1 of 1) PTHR11122:SF13 - GLUCOSE-6-PHOSPHATE 1-EPIMERASE
x,MgIM767.11G024500,IM767+,out,AT5G57330,(1 of 1) PTHR11122:SF13 - GLUCOSE-6-PHOSPHATE 1-EPIMERASE
Migut.11G024600,MgIM767.11G024600,1:1,out,AT5G57330,(1 of 1) PTHR11122:SF13 - GLUCOSE-6-PHOSPHATE 1-EPIMERASE
Migut.11G024700,MgIM767.11G024700,1:1,out,AT5G20600,(1 of 1) K14849 - ribosomal RNA-processing protein 1 (RRP1)
Migut.11G024800,MgIM767.11G024800,1:1,out,AT4G30200,(1 of 2) PTHR46286:SF2 - VIN3-LIKE PROTEIN 2
Migut.11G024900,MgIM767.11G024900,1:1,out,AT5G57410,"(1 of 1) K06085 - synovial sarcoma, X breakpoint 2 interacting protein (SSX2IP, ADIP)"
Migut.11G025000,MgIM767.11G025000,1:1,out,AT4G30210,(1 of 2) 1.6.2.4 - NADPH--hemoprotein reductase. / TPNH-cytochrome c reductase.
Migut.11G025100,MgIM767.11G025100,1:1,out,AT4G30230,hypothetical protein
Migut.11G025200,MgIM767.11G025200,1:1,out,AT2G18860,(1 of 1) PTHR34949:SF7 - SYNTAXIN 6 N-TERMINAL DOMAIN-CONTAINING PROTEIN
Migut.11G025300,MgIM767.11G025300,1:1,out,AT2G18850,(1 of 2) 2.1.1.259 - [fructose-bisphosphate aldolase]-lysine N-methyltransferase. / (dimerizing)]-lysine 6-N-methyltransferase.
Migut.11G025400,MgIM767.11G025400,1:1,out,AT2G18840,(1 of 2) PTHR21236:SF1 - PROTEIN YIPF6
x,MgIM767.11G025500,IM767+,out,AT1G68960,(1 of 1) PTHR44259:SF90 - DUF295 DOMAIN-CONTAINING PROTEIN
x,MgIM767.11G025600,IM767+,out,AT1G68960,(1 of 1) PTHR44259:SF90 - DUF295 DOMAIN-CONTAINING PROTEIN
Migut.11G025500,MgIM767.11G025700,1:1,out,AT5G57490,(1 of 1) PTHR11743:SF27 - MITOCHONDRIAL OUTER MEMBRANE PROTEIN PORIN 4
Migut.11G025600,MgIM767.11G025800,1:1,out,AT5G57510,(1 of 27) PF05553 - Cotton fibre expressed protein (DUF761)
Migut.11G025700,MgIM767.11G025900,1:1,out,AT5G57520,(1 of 5) PTHR47287:SF1 - C2H2-TYPE DOMAIN-CONTAINING PROTEIN
Migut.11G025800,MgIM767.11G026000,1:1,out,AT4G25810,(1 of 1) PTHR31062:SF284 - XYLOGLUCAN ENDOTRANSGLUCOSYLASE_HYDROLASE PROTEIN 23-RELATED
Migut.11G025900,MgIM767.11G026100,1:1,out,AT5G57550,(1 of 1) PTHR31062:SF303 - XYLOGLUCAN ENDOTRANSGLUCOSYLASE_HYDROLASE PROTEIN 25-RELATED
Migut.11G026000,MgIM767.11G026200,1:1,out,AT4G25810,(1 of 1) PTHR31062:SF284 - XYLOGLUCAN ENDOTRANSGLUCOSYLASE_HYDROLASE PROTEIN 23-RELATED
Migut.11G026100,MgIM767.11G026300,1:1,out,AT5G57580,(1 of 1) PTHR31713:SF18 - CALMODULIN-BINDING PROTEIN 60 B
x,MgIM767.11G026400,IM767+,out,AT1G14320,"(1 of 3) K02866 - large subunit ribosomal protein L10e (RP-L10e, RPL10)"
Migut.11G026200,MgIM767.11G026500,1:1,out,AT5G57610,(1 of 1) PTHR23257:SF980 - KINASE SUPERFAMILY WITH OCTICOSAPEPTIDE_PHOX_BEM1P DOMAIN-CONTAINING PROTEIN
Migut.11G026300,MgIM767.11G026600,1:1,out,AT5G57620,(1 of 1) PTHR48000:SF21 - TRANSCRIPTION FACTOR MYB36
Migut.11G026400,MgIM767.11G026700,1:1,out,AT5G17050,(1 of 1) 2.4.1.115//2.4.1.91 - anthocyanidin 3-O-glucosyltransferase. / uridine diphosphoglucose-anthocyanidin 3-O-glucosyltransferase. // flavonol 3-O-glucosyltransferase. / UDP-glucose flavonol 3-O-glucosyltransferase.
Migut.11G026500,MgIM767.11G026800,1:1,out,AT4G25780,"(1 of 1) PTHR10334:SF417 - CAP (CYSTEINE-RICH SECRETORY PROTEINS, ANTIGEN 5, AND PATHOGENESIS-RELATED 1 PROTEIN) SUPERFAMILY PROTEIN"
Migut.11G026600,MgIM767.11G026900,1:1,out,AT4G30320,"(1 of 1) PTHR10334:SF430 - CAP (CYSTEINE-RICH SECRETORY PROTEINS, ANTIGEN 5, AND PATHOGENESIS-RELATED 1 PROTEIN) SUPERFAMILY PROTEIN"
Migut.11G026700,MgIM767.11G027000,1:1,out,AT5G57655,(1 of 1) 5.3.1.5 - xylose isomerase. / D-xylose ketol-isomerase.
Migut.11G026800,MgIM767.11G027100,1:1,out,AT2G24765,(1 of 1) K07942 - ADP-ribosylation factor-like protein 1 (ARL1)
Migut.11G026900,MgIM767.11G027200,1:1,out,AT5G57660,(1 of 1) PTHR31319:SF113 - ZINC FINGER PROTEIN CONSTANS-LIKE 5
Migut.11G027000,MgIM767.11G027300,1:1,out,AT5G57670,(1 of 1) PTHR47987:SF3 - OS08G0249100 PROTEIN
Migut.11G027100,MgIM767.11G027400,1:1,out,AT5G57685,(1 of 1) PTHR33228:SF36 - PROTEIN GLUTAMINE DUMPER 3
Migut.11G027200,MgIM767.11G027500,1:1,out,AT5G57690,(1 of 1) PTHR11255:SF88 - DIACYLGLYCEROL KINASE 4
Migut.11G027300,MgIM767.11G027600,1:1,out,AT4G28020,(1 of 1) PTHR12818:SF0 - NEF-ASSOCIATED PROTEIN 1
Migut.11G027400,MgIM767.11G027700,1:1,out,AT5G57710,(1 of 1) PTHR43572:SF13 - PROTEIN SUPPRESSOR OF MAX2 1
Migut.11G027600,MgIM767.11G027800,1:1,out,AT4G28025,(1 of 5) 3.2.1.24 - alpha-mannosidase. / alpha-mannosidase.
Migut.11G027500,MgIM767.11G027900,1:1,out,AT2G18700,"(1 of 11) 2.4.1.15 - alpha,alpha-trehalose-phosphate synthase (UDP-forming). / UDP-glucose--glucose-phosphate glucosyltransferase."
Migut.11G027700,x,IM62+,out,AT2G18690,(1 of 2) PTHR33133:SF62 - EXPRESSED PROTEIN-RELATED
Migut.11G027800,MgIM767.11G028000,1:1,out,AT2G18690,(1 of 2) PTHR33133:SF62 - EXPRESSED PROTEIN-RELATED
Migut.11G027900,MgIM767.11G028100,1:1,out,AT2G18670,(1 of 3) PTHR46539:SF9 - RING-H2 FINGER PROTEIN ATL56
Migut.11G028000,MgIM767.11G028200,1:1,out,AT4G30400,(1 of 2) PTHR45768:SF10 - RING-H2 FINGER PROTEIN ATL13-RELATED
Migut.11G028100,MgIM767.11G028300,1:1,out,AT5G57740,(1 of 1) PTHR24128:SF12 - ANKYRIN REPEAT-CONTAINING PROTEIN
Migut.11G028200,MgIM767.11G028400,1:1,out,AT5G14850,"(1 of 1) K05286 - phosphatidylinositol glycan, class B (PIGB)"
Migut.11G028300,MgIM767.11G028500,1:1,out,AT4G30410,(1 of 1) PTHR33124:SF5 - BHLH TRANSCRIPTION FACTOR
Migut.11G028400,MgIM767.11G028600,1:1,out,AT5G57800,(1 of 1) PTHR11863:SF66 - VERY-LONG-CHAIN ALDEHYDE DECARBONYLASE CER3
Migut.11G028500,MgIM767.11G028700/MgIM767.11G028800,1:1,out,AT4G30420,(1 of 51) PF00892 - EamA-like transporter family (EamA)
Migut.11G028600,MgIM767.11G028900,1:1,out,AT4G24972,(1 of 1) PTHR33184:SF67 - PROTEIN TAPETUM DETERMINANT 1
Migut.11G028700,MgIM767.11G029000,1:1,out,AT4G24972,(1 of 1) PTHR33184:SF67 - PROTEIN TAPETUM DETERMINANT 1
Migut.11G028800,MgIM767.11G029100,1:1,out,AT4G24972,(1 of 1) PTHR33184:SF67 - PROTEIN TAPETUM DETERMINANT 1
Migut.11G028900,MgIM767.11G029200,1:1,out,AT5G57815,"(1 of 2) PTHR46281:SF8 - CYTOCHROME C OXIDASE SUBUNIT 12, MITOCHONDRIAL"
Migut.11G029000,MgIM767.11G029300,1:1,out,AT4G30450,
Migut.11G029100,MgIM767.11G029400,1:1,out,AT4G30440,(1 of 1) PTHR43574:SF3 - UDP-GLUCURONATE 4-EPIMERASE 1
Migut.11G029200,MgIM767.11G029500,1:1,out,AT2G23890,(1 of 1) PTHR12103:SF12 - 5'-NUCLEOTIDASE DOMAIN-CONTAINING PROTEIN DDB_G0275467
Migut.11G029300,MgIM767.11G029600,1:1,out,,
Migut.11G029400,MgIM767.11G029700,1:1,out,AT4G30480,(1 of 1) PTHR46014:SF1 - TETRATRICOPEPTIDE REPEAT PROTEIN 1
Migut.11G029500,MgIM767.11G029800,1:1,out,AT5G35200,(1 of 1) PTHR22951:SF32 - OS06G0175500 PROTEIN
Migut.11G029600,MgIM767.11G029900,1:1,out,AT4G30490,(1 of 1) PTHR12169:SF29 - AFG1-LIKE ATPASE FAMILY PROTEIN
Migut.11G029700,MgIM767.11G030000,1:1,out,AT2G23940,(1 of 2) KOG3269 - Predicted membrane protein
Migut.11G029800,MgIM767.11G030100,1:1,out,AT4G30510,"(1 of 1) K17908 - autophagy-related protein 18 (WIPI, ATG18)"
Migut.11G029900,MgIM767.11G030200,1:1,out,AT4G12650,(1 of 1) PTHR10766:SF163 - TRANSMEMBRANE 9 SUPERFAMILY MEMBER 12
Migut.11G030000,MgIM767.11G030300,1:1,out,AT4G11120,"(1 of 1) PTHR11741:SF0 - ELONGATION FACTOR TS, MITOCHONDRIAL"
Migut.11G030100,MgIM767.11G030400/MgIM767.11G030500,1:1,out,AT2G23950,(1 of 1) PTHR47988:SF84 - PROTEIN KINASE DOMAIN-CONTAINING PROTEIN
Migut.11G030200,MgIM767.11G030600,1:1,out,AT5G24450,"(1 of 2) K15202 - general transcription factor 3C polypeptide 5 (transcription factor C subunit 1) (GTF3C5, TFC1)"
Migut.11G030300,MgIM767.11G030700,1:1,out,,"Knottin, scorpion toxin-like"
Migut.11G030400,MgIM767.11G030800,1:1,out,AT1G16060,(1 of 1) PTHR32467:SF266 - AP2_ERF DOMAIN-CONTAINING PROTEIN
Migut.11G030500,MgIM767.11G030900,1:1,out,AT4G30850,(1 of 1) PTHR20855:SF100 - HEPTAHELICAL TRANSMEMBRANE PROTEIN 2
Migut.11G030600,MgIM767.11G031000,1:1,out,AT4G28080,(1 of 1) PTHR12601:SF39 - PROTEIN REDUCED CHLOROPLAST COVERAGE 2
Migut.11G030700,MgIM767.11G031100,1:1,out,AT2G24090,"(1 of 1) K02916 - large subunit ribosomal protein L35 (RP-L35, MRPL35, rpmI)"
Migut.11G030800,MgIM767.11G031200,1:1,out,AT4G30790,(1 of 1) PTHR13222:SF1 - RB1-INDUCIBLE COILED-COIL PROTEIN 1
Migut.11G030900,MgIM767.11G031300,1:1,out,AT4G30810,(1 of 1) PTHR11802:SF32 - SERINE CARBOXYPEPTIDASE-LIKE 29
Migut.11G031000,MgIM767.11G031400,1:1,out,AT5G63010,(1 of 1) 3.1.1.97 - methylated diphthine methylhydrolase. / diphthine methylesterase.
Migut.11G031100,MgIM767.11G031500,1:1,out,AT5G57860,"(1 of 1) K03873 - transcription elongation factor B, polypeptide 2 (TCEB2)"
Migut.11G031200,MgIM767.11G031600,1:1,out,AT4G30710,(1 of 2) PTHR31807:SF37 - AUGMIN SUBUNIT 8
Migut.11G031300,MgIM767.11G031700,1:1,out,AT4G30700,(1 of 16) PF01535//PF13041//PF14432//PF20430//PF20431 - PPR repeat (PPR) // PPR repeat family (PPR_2) // DYW family of nucleic acid deaminases (DYW_deaminase) // E+ motif (Eplus_motif) // E motif (E_motif)
Migut.11G031400,MgIM767.11G031800,1:1,out,AT2G24060,"(1 of 1) PTHR10938:SF3 - TRANSLATION INITIATION FACTOR IF3-2, CHLOROPLASTIC"
Migut.11G031500,MgIM767.11G031900,1:1,out,AT1G16030,(1 of 1) PTHR19375:SF550 - HEAT SHOCK 70 KDA PROTEIN 5
Migut.11G031600,MgIM767.11G032000,1:1,out,AT5G57870,(1 of 3) K03260 - translation initiation factor 4G (EIF4G)
Migut.11G031700,x,IM62+,out,,
Migut.11G031800,MgIM767.11G032100,1:1,out,,
Migut.11G031900,x,IM62+,out,,
Migut.11G032000,MgIM767.11G032200,1:1,out,AT4G28088,(1 of 1) PTHR21659:SF106 - LOW TEMPERATURE AND SALT RESPONSIVE PROTEIN FAMILY
Migut.11G032100,MgIM767.11G032300,1:1,out,,
Migut.11G032200,MgIM767.11G032400,1:1,out,AT5G57910,(1 of 1) IPR036002 - Stathmin superfamily
Migut.11G032300,MgIM767.11G032500,1:1,out,AT4G30620,(1 of 1) PTHR33449:SF5 - (RAPE) HYPOTHETICAL PROTEIN
Migut.11G032400,MgIM767.11G032600,1:1,out,AT4G30610,(1 of 1) PTHR11802:SF25 - SERINE CARBOXYPEPTIDASE-LIKE 33
Migut.11G032500,MgIM767.11G032700,1:1,out,AT1G30890,(1 of 1) PTHR14083:SF11 - INTEGRAL MEMBRANE HRF1 FAMILY PROTEIN
Migut.11G032600,MgIM767.11G032800,1:1,out,AT5G63660,(1 of 1) PTHR33147:SF133 - DEFENSIN-LIKE PROTEIN 6-RELATED
Migut.11G032700,x,IM62+,out,AT5G63660,(1 of 1) PTHR33147:SF133 - DEFENSIN-LIKE PROTEIN 6-RELATED
Migut.11G032800,x,IM62+,out,,(1 of 1) PTHR33147:SF133 - DEFENSIN-LIKE PROTEIN 6-RELATED
Migut.11G032900,MgIM767.11G032900,1:1,out,AT4G31830,
Migut.11G033000,MgIM767.11G033000,1:1,out,AT4G30580,(1 of 1) K00655 - 1-acyl-sn-glycerol-3-phosphate acyltransferase (plsC)
Migut.11G033100,MgIM767.11G033100,1:1,out,AT5G57940,(1 of 1) PTHR45651:SF52 - CYCLIC NUCLEOTIDE-GATED ION CHANNEL 5-RELATED
Migut.11G033200,MgIM767.11G033200,1:1,out,AT5G57330,(1 of 1) PTHR11122:SF13 - GLUCOSE-6-PHOSPHATE 1-EPIMERASE
Migut.11G033300,MgIM767.11G033300,1:1,out,AT5G10840,(1 of 2) PTHR10766:SF110 - TRANSMEMBRANE 9 SUPERFAMILY MEMBER 8-RELATED
Migut.11G033400,MgIM767.11G033400,1:1,out,AT5G35770,(1 of 1) PTHR19855:SF31 - TRANSCRIPTIONAL REGULATOR STERILE APETALA
Migut.11G033500,MgIM767.11G033500,1:1,out,AT4G30900,(1 of 1) PTHR12121:SF36 - ENDONUCLEASE/EXONUCLEASE/PHOSPHATASE DOMAIN-CONTAINING PROTEIN
Migut.11G033600,MgIM767.11G033600,1:1,out,AT4G30920,(1 of 3) 3.4.11.1//3.4.11.5 - leucyl aminopeptidase. / peptidase S. // prolyl aminopeptidase. / Pro-X aminopeptidase.
Migut.11G033700,x,IM62+,out,,(1 of 5) PTHR33248:SF3 - GRF ZINC FINGER PROTEIN
Migut.11G033800,MgIM767.11G033700,1:1,out,AT4G30935,(1 of 1) PTHR31221:SF150 - WRKY TRANSCRIPTION FACTOR 32-RELATED
Migut.11G033900,MgIM767.11G033800,1:1,out,AT2G24230,(1 of 1) PTHR48055:SF6 - LEUCINE-RICH REPEAT RECEPTOR PROTEIN KINASE EMS1
Migut.11G034000,MgIM767.11G033900,1:1,out,AT5G57990,(1 of 1) PTHR24006:SF758 - UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 36
Migut.11G034100,MgIM767.11G034000,1:1,out,AT1G50670,"(1 of 1) K13719 - ubiquitin thioesterase OTU1 (OTU1, YOD1)"
Migut.11G034200,MgIM767.11G034100,1:1,out,AT2G24240,(1 of 2) PTHR14499:SF116 - OSJNBA0029H02.24 PROTEIN
Migut.11G034300,MgIM767.11G034200,1:1,out,AT4G30950,(1 of 1) 1.14.19.22//1.14.19.23 - acyl-lipid omega-6 desaturase (cytochrome b5). / phosphatidylcholine desaturase. // acyl-lipid (n+3)-(Z)-desaturase (ferredoxin). / phosphatidylcholine desaturase.
Migut.11G034400,MgIM767.11G034300,1:1,out,AT5G58000,(1 of 1) PTHR46626:SF1 - RETICULON-LIKE PROTEIN B21
Migut.11G034500,MgIM767.11G034400,1:1,out,AT4G30960,(1 of 1) PTHR43895:SF91 - CBL-INTERACTING SERINE_THREONINE-PROTEIN KINASE 6
Migut.11G034600,MgIM767.11G034500,1:1,out,AT2G24260,(1 of 1) PTHR16223:SF356 - TRANSCRIPTION FACTOR LRL1
Migut.11G034700,MgIM767.11G034600,1:1,out,AT5G58005,(1 of 1) K18179 - cytochrome c oxidase assembly factor 6 (COA6)
Migut.11G034800,x,IM62+,out,,
Migut.11G034900,MgIM767.11G034700,1:1,out,AT1G51120,(1 of 2) PTHR31140:SF80 - AP2_ERF DOMAIN-CONTAINING PROTEIN
Migut.11G035000,MgIM767.11G034800,1:1,out,AT2G24260,(1 of 1) PTHR16223:SF356 - TRANSCRIPTION FACTOR LRL1
Migut.11G035100,MgIM767.11G034900,1:1,out,AT5G58030,(1 of 1) PTHR20902:SF0 - TRAFFICKING PROTEIN PARTICLE COMPLEX SUBUNIT 5
Migut.11G035200,MgIM767.11G035000,1:1,out,,
Migut.11G035300,MgIM767.11G035100,1:1,out,AT5G58070,(1 of 1) K03098 - apolipoprotein D and lipocalin family protein (APOD)
Migut.11G035400,MgIM767.11G035200,1:1,out,AT5G58060,(1 of 2) K08516 - synaptobrevin homolog YKT6 (YKT6)
Migut.11G035500,MgIM767.11G035300,1:1,out,AT4G30996,(1 of 2) PTHR32254:SF3 - HEAT REPEAT-CONTAINING PROTEIN
Migut.11G035600,MgIM767.11G035400,1:1,out,AT2G25180,(1 of 1) PTHR43874:SF209 - TWO-COMPONENT RESPONSE REGULATOR ARR12
Migut.11G035700,x,IM62+,out,AT5G67030,"(1 of 1) K09838 - zeaxanthin epoxidase (ZEP, ABA1)"
Migut.11G035800,MgIM767.11G035500,1:1,out,AT2G25180,(1 of 1) PTHR43874:SF209 - TWO-COMPONENT RESPONSE REGULATOR ARR12
Migut.11G035900,MgIM767.11G035600,1:1,out,AT4G31020,(1 of 1) PTHR12277:SF167 - ALPHA_BETA-HYDROLASES SUPERFAMILY PROTEIN
Migut.11G036000,MgIM767.11G035700,1:1,out,AT5G58200,(1 of 1) PTHR35769:SF2 - CALCINEURIN-LIKE METALLO-PHOSPHOESTERASE SUPERFAMILY PROTEIN
Migut.11G036100,MgIM767.11G035800,1:1,out,AT1G17130,(1 of 2) PTHR12111:SF1 - COILED-COIL DOMAIN-CONTAINING PROTEIN 94
Migut.11G036200,MgIM767.11G035900,1:1,out,AT5G35330,(1 of 2) PTHR12396:SF0 - LD22928P
Migut.11G036300,MgIM767.11G036000,1:1,out,AT5G35330,(1 of 2) PTHR12396:SF0 - LD22928P
